Title,description,authors,publishedDate,categories,pages_count,price,shop_id,stock
Stranger in a Strange Land : ( Science Fiction Book Club Ltd Edition ),"The original uncut edition of STRANGER IN A STRANGE LAND by Hugo Award winner Robert A Heinlein - one of the most beloved, celebrated science-fiction novels of all time. Epic, ambitious and entertaining, STRANGER IN A STRANGE LAND caused controversy and uproar when it was first published and is still topical and challenging today. Twenty-five years ago, the first manned mission to Mars was lost, and all hands presumed dead. But someone survived... Born on the doomed spaceship and raised by the Martians who saved his life, Valentine Michael Smith has never seen a human being until the day a second expedition to Mars discovers him. Upon his return to Earth, a young nurse named Jill Boardman sneaks into Smith's hospital room and shares a glass of water with him, a simple act for her but a sacred ritual on Mars. Now, connected by an incredible bond, Smith, Jill and a writer named Jubal must fight to protect a right we all take for granted: the right to love.",Robert A. Heinlein,2014-06-05,Fiction,819,127.56,fiction_boutique,False
Outrageously Alice,"Now that she is settling into eighth grade, the class she used to envy, Alice Mckinley is discovering that it isn't all that exciting. But, maybe it’s up to her to make this year as thrilling as she thought it would be? Out with the old, plain-Jane Alice in with the new, stylish, creative Alice. She’s sick of being boring. It’s time to be outrageous! But, what if outrageous isn’t all it’s cracked up to be either? What if instead Alice finds herself in situations that are more embarrassing than they are wild and fun? Is Alice destined to be the same boring girl forever?",Phyllis Reynolds Naylor,2012-05-22,Juvenile Fiction,259,20.73,fiction_boutique,True
My Fourth-Grade Mess (Full House Michelle),"Michelle has been wrongfully accused of cheating on a math test, and although she knows who did it, she is afraid that all the other kids will call her a snitch if she tells. Original.",Cathy East Dubowski,1996,Juvenile Fiction,281,82.06,fiction_boutique,False
Tender Is the Night,A story of Americans on the French Riviera in the 1930s is a portrait of psychological disintegration as a wealthy couple supports friends and hangers-on financially and emotionally at the cost of their own stability,F. Scott Fitzgerald,1995-07,Fiction,309,24.19,fiction_boutique,False
Peligro inminente,"Following the stellar success of such books as La tormenta roja (published in English as Red Storm Rising), Tom Clancy writes another national bestseller with America's favorite hero Jack Ryan trapped in the eye of the storm. The U.S. ambassador to Columbia has been murdered by drug lords, and enemy covert agents filter into the jungles of South America -- Central America is ready to explode.","Tom Clancy, Daniel Zadunaisky",2002-01-01,Fiction,184,67.98,fiction_boutique,True
Seal Surfer,"Although he is on crutches, a boy goes to the beach with his grandfather, where they watch a seal being born, and over the following seasons, the boy and the seal develop a special bond.",Michael Foreman,1997,Juvenile Fiction,57,140.58,fiction_boutique,True
Tell Me 'Bout the Good Old Days,Colorful pictures illustrate the lyrics from country act the Judds' song about a grandfather reminiscing with his grandchildren.,"Judds, The, ""Jamie OHara""",2005-02,Juvenile Fiction,280,76.13,fiction_boutique,True
Helen Kellers Teacher,"Tells the story of Annie Sullivan, the woman who taught Helen Keller, a blind and deaf girl, to read and communicate.",Margaret Davidson,1989,Juvenile Nonfiction,201,52.56,fiction_boutique,True
Tracy's Tiger,"Two ingenuous young people as lovers, with a whimsical tiger as the hero of the fable.",William Saroyan,1951,Fantasy,349,35.47,fiction_boutique,False
"Richard Matheson: Collected Stories, Vol. 2",SECOND VOLUME OF 3 OF THE COLLECTED STORIES OF RICHARD MATHESON,Richard Matheson,2005,Fiction,211,98.39,fiction_boutique,True
Captured Heart,"Fleeing with only her bow, horse, enormous pet wolf, and the cryptic clues hidden in her mother's medicine journal, healer Meg Boswell gallops north towards freedom, running from the man who falsely accused her mother of witchcraft. Cursed with magical healing abilities, Meg knows that if she's captured, she will die like her mother—atop a blazing witch's pyre. Winter winds rip across the Highlands, pressing Chief Caden Macbain forward in his desperate plan to save his clan. He's not above using an innocent woman to bargain for peace if it keeps his clan from starving. But Meg isn't who Caden thinks she is, and when she kills a man to save the clan, he must choose between duty and her life. For although he captured her to force a peace, Meg's strength and courage have captured Caden's heart.",Heather McCollum,2012-09-04,Fiction,311,140.59,fiction_boutique,False
Ghost Stories of the Old West,"Howling hauntings from the raw mountain passes and wind-stripped plains of the Old West The Old West is filled with enough phenomenal happenings, curious mysteries, and ghastly ghosts to send chills up and down any spine. Haunted Old West is the petrifyingly perfect collection for campfire gatherings and makes an eerily ideal guide for a ghost-hunting trip to the Old West. In these pages explore horror-filled mine shafts and outrun herds of stampeding spectral cattle. Stumble upon a supernatural saloon, investigate ghost towns teeming with residents of the afterlife, and feel phantom freight trains pass through your body. Haunted Old West provides the inside story on some of the most actively haunted spots in the great American West, including: Ghostly Garnet: In summer, visitors frequent this best-preserved ghost town in Montana, but it is winter when Garnet truly comes alive. Raucous music can be heard within the Kelly Saloon, and the blacksmith’s ringing anvil punctuates the sounds of a busy 1880s street scene. Yes indeed, Garnet puts the “ghost” in ghost town. Bandit Ghoul of Six Mile Canyon: Respected businessman by day, bandit gang leader by night, Big Jack Davis amasses a fortune robbing trains, stagecoaches, and bullion wagons in 1860s Nevada. Shot in the back while robbing a stagecoach, Big Jack is now a shrieking white demon, flapping wings sprouted from his wounds and driving off anyone who gets too close to his buried loot.",Matthew P. Mayo,2012-08-21,Fiction,390,77.37,fiction_boutique,True
Ethnocracy: Land and Identity Politics in Israel/Palestine,"For Oren Yiftachel, the notion of ethnocracy suggests a political regime that facilitates expansion and control by a dominant ethnicity in contested lands. It is neither democratic nor authoritarian, with rights and capabilities depending primarily on ethnic origin and geographic location. In Ethnocracy: Land and Identity Politics in Israel/Palestine, he presents a new critical theory and comparative framework to account for the political geography of ethnocratic societies. According to Yiftachel, the primary manifestation of ethnocracy in Israel/Palestine has been a concerted strategy by the state of ""Judaization."" Yiftachel's book argues that ethnic relations—both between Jews and Palestinians, and among ethno-classes within each nation—have been shaped by the diverse aspects of the Judaization project and by resistance to that dynamic. Special place is devoted to the analysis of ethnically mixed cities and to the impact of Jewish immigration and settlement on collective identities. Tracing the dynamics of territorial and ethnic conflicts between Jews and Palestinians, Yiftachel examines the consequences of settlement, land, development, and planning policies. He assesses Israel's recent partial liberalization and the emergence of what he deems a ""creeping apartheid"" whereby increasingly impregnable ethnic, geographic, and economic barriers develop between groups vying for recognition, power, and resources. The book ends with an exploration of future scenarios, including the introduction of new agendas, such as binationalism and multiculturalism.",Oren Yiftachel,2006-06-27,Juvenile Nonfiction,268,85.59,fiction_boutique,True
Thick as Thieves,"In this tantalizing thriller from a #1 New York Times bestselling author, a woman uncovers lifelong secrets as she searches for the truth behind her father's involvement in a heist gone wrong. Twenty years ago in the dead of night, four seemingly random individuals pulled the ultimate heist and almost walked away with half a million dollars. But by daybreak, their plan had been shot to hell. One of them was in the hospital. One was in jail. One was dead. And one got away with it. Arden Maxwell, the daughter of the man who disappeared all those years ago—presumably with the money, after murdering his accomplice—has never reconciled with her father's abandonment of her and her sister. After countless personal setbacks she decides to return to her family home near mysterious Caddo Lake, and finally get answers to the many questions that torment her. Little does she know, two of her father's co-conspirators—a war hero and a corrupt district attorney—are watching her every move. Ledge Burnet, a rebellious teen at the time of the heist, evaded his jail sentence by enlisting in the army. Now he's back in town to care for his ailing father—and to keep his eye on the county's corrupt district attorney, whom he suspects was the real murderer. Although the two are bound to silence because of the crime they committed together, each has spent years waiting and hoping that the other will make a fatal misstep. But the arrival of their elusive accomplice's daughter, Arden, who may know more about the missing money than she's telling, sets them both on red alert. She ignites Ledge's determination to expose the D.A.'s treachery . . . and sparks a desire he wishes to deny.",Sandra Brown,2020-08-25,Fiction,197,125.4,fiction_boutique,True
Echoes of Valor,"A collection of heroic fantasy stories includes works by masters of the sword-and-sorcery genre, including Robert E. Howard, C.L. Moore, and Manly Wade Wellman",Karl Edward Wagner,1989-01-01,Fiction,300,143.85,fiction_boutique,False
"The Babylonian Gilgamesh Epic: Introduction, Critical Edition and Cuneiform Texts 2 Volumes","""The Babylonian Gilgamesh epic is the oldest long poem in the world, with a history going back four thousand years. It tells the fascinating and moving story of Gilgamesh's heroic deeds and lonely quest for immortality. This book collects for the first time all the known sources in the original cuneiform, including many fragments never published before. The author's personal study of every available fragment has produced a definitive edition and translation, complete with comprehensive introductory chapters that place the poem and its hero in context.""--Publisher's description.",A. R. George,2003,"Epic poetry, Assyro-Babylonian",416,74.82,fiction_boutique,True
Sometimes There's a Dove,"""If you're looking for a down-home flavored slice of life, look no further than ""Sometimes There's A Dove"" by Cynthia Ward. I found the characters quite endearing and very real. The main character, Claire, wistfully dreams of adventure, seemingly unaware that the predicaments she and her siblings get themselves into are adventures in their own right. The unexpected twists and turns of childhood had me sometimes laughing, sometimes nodding my head in solemn nostalgia. ""Sometimes There's A Dove"" is a coming of age story of a different kind. It illustrates how harsh realities, such as poverty and war, can make one wise beyond her years. ...""Sometimes There's A Dove"" is a thoroughly enjoyable read. I have added Cynthia Ward to my list of admired authors!"" -- Reviewed by Cynthia Lindsay.",Cynthia Ward,2004,Fiction,396,92.08,fiction_boutique,True
THE SHADES OF THE WILDERNESS - A STORY OF LEE'S GREAT STAND.,This book has been considered by academicians and scholars of great significance and value to literature. This forms a part of the knowledge base for future generations. We havent used any OCR or photocopy to produce this book. The whole book has been typeset again to produce it without any errors or poor pictures and errant marks.,Joseph A. Altsheler,2019-02-13,Fiction,330,42.46,fiction_boutique,False
Corpses of Angels: Poems,"Henry J. Morro's CORPSES OF ANGELS is a stunning debut of powerful and tender poems about identity, the gender wars and survival. These poems reveal the beauty and terror of awakening in a new country, searching for the touchstones of memory, reaching back and finding the language of peasants and machetes, of machine guns and priests, of gods and flesh. Henry Morro's poems exude a gross beauty which explodes the heart, cause a delicious pain, leaves the victim yearning--Wanda Coleman.",Henry J. Morro,2000,Fiction,219,47.22,fiction_boutique,True
