Title,description,authors,publishedDate,categories,pages_count,price,shop_id,stock
Instrumento de observacion de los logros de la lecto-escritura inicial: Spanish Reconstruction of An Observation Survey A Bilingual Text,"Drawing on the theoretical framework that made Marie Clay's An Observation Survey such a success, a new team of authors has developed and applied these same tasks for Spanish speaking students.","Ana María Andrade, Kathy Escamilla, Amelia G. M. Basurto, Marie M. Clay, Olivia A. Ruiz",1996,Education,397,102.0,mega_market,True
Magic Words That Bring You Riches,"Deeply in debt and worried about survival, I discovered.."".The secret to becoming a Millionaire is simply using the right words!"" You are 17 words or less away from a fortune! In his new book ""Magic Words That Bring You Riches"", self-made millionaire, Ted Nicholas shares those words, and how to use them.",Ted Nicholas,1998-12-01,Business & Economics,345,147.34,mega_market,True
Making Music With Your Child,"Can music make your child smarter? Author Philip Sheppard reveals the secret power of music in your childâs development with this book and CD set that includes songs for learning; lullabies and fingerplays; music for movement, dancing, and play; and music for story time. In Part 1, discover how music can help your childâs mental development, physical coordination, language skills, math ability, social skills, memory, teamwork skills, and self-expression and creativity. Part 2 is a practical guide for parents featuring musical games, instructions for making your own instruments, music and movement exercises, suggested listening, and advice on choosing instruments.",Philip Sheppard,2008,Music,380,100.09,mega_market,True
Jesus is coming,"A Study Guide and a Teacher’s Manual Gospel Principles was written both as a personal study guide and as a teacher’s manual. As you study it, seeking the Spirit of the Lord, you can grow in your understanding and testimony of God the Father, Jesus Christand His Atonement, and the Restoration of the gospel. You can find answers to life’s questions, gain an assurance of your purpose and self-worth, and face personal and family challenges with faith.",The Church of Jesus Christ of Latter-Day Saints,1981,Mormon Church,225,44.9,mega_market,True
The Art of Engraving,"Brings the reader - for the first time ever - a complete, authoritative, imaginative and detailed introduction to and training in the art of gun engraving. This book does not assume you know anything about engraving. You start at the beginning by learning to draw scrolls and layouts, then cut practice plates until you are sure enough of your ability to actually proceed to designing a pattern, transferring it to a gun and cutting it into the steel. Whether you want to learn to engrave now . . . think you might like to in the future. . . or simply wish to broaden your knowledge of art to be able to better judge the work of others (as you will learn to tell the good from the bad - and know why), this is the book for you.",James B. Meek,1973,Engraving (Metal-work),156,22.53,mega_market,True
American Assassins,"Mitch Rapp is a gifted college athlete who just wants retribution for the Pan Am Lockerbie attack. He trains six months intensely with other clandestine operatives, under CIA Operations Director Thomas Stansfield and protégé Irene Kennedy, to stop terrorists before they reach America. The assassin leaves a trail of bodies from Istanbul across Europe to Beirut, where he needs every ounce of skill and cunning to survive the war-ravaged city and its deadly terrorist factions.",Vince Flynn,2017-08-15,Fiction,211,61.18,mega_market,False
Galois theory;: Lectures delivered at the University of Notre Dame (Notre Dame mathematical lectures),"Clearly presented discussions of fields, vector spaces, homogeneous linear equations, extension fields, polynomials, algebraic elements, as well as sections on solvable groups, permutation groups, solution of equations by radicals, and other concepts. 1966 edition.",Emil Artin,2012-05-24,Mathematics,293,37.96,mega_market,False
The Power of Divine: A Healer's Guide - Tapping into the Miracle,"A comprehensive manual at center stage of science, spirituality and healing. Can any prayer heal? Do miracles really happen? Can a person tap into a power beyond themselves so strong that the impossible becomes reality? Can ancestral curses and negativity manifest as illness in a descendants body? Can we get attacked by holes in the shield of our free will? What attacks us, and how can we mend it? This amazing book is a self-help manual that cuts across any barriers of religious prejudice or confusing psychology. Step-by-step learn how to tap into the God-spot and your own natural-born intuitive abilities for giving and receiving Miraculous Healings for yourself and others by connection through hands-on healing and prayer. Written by Tiffany Snow, a stigmata-bearer, evidence-based miracle healer and intuitive. Blessed Tiffanys near-death experience by lightning strike began her empirical revelations that bring people from all over the world to hear her inspired words and be touched by her miraculous hands. This book bridges the gap between alternative medicine, healing prayer and science, and religion and spirituality. It is a treasure not just for those aspiring to become healers themselves, but for those seeking to be healed.",Tiffany Snow,2004,"Body, Mind & Spirit",278,97.98,mega_market,True
London Insideout (Insideout City Guide: London),"This portable, attractive city guide includes detailed PopOut(TM) maps, a 64 page insider guide, a functional compass, and a pen to help you travel intelligently around London. A classic itinerary suggests how to best enjoy this historic city by featuring 42 must-see attractions, including Buckingham Palace, the Changing of the Guard, the Ceremony of the Keys at the Tower of London, and Westminster Abbey -- along with descriptions, historical insights, and an alphanumeric index corresponding to helpful maps. Also included are 38 shops and services from antique shops and bookstores to markets; 54 entertainment venues hosting opera, theatre, dancing, and sports; and 60 eclectic restaurants, accompanied by a price guide. A concluding section provides transportation, weather, and regional custom information. PopOut maps of central London and downtown London include an inset of the London Transit System.",Map Group,2005-08,Travel,403,23.43,mega_market,True
Luke Pb (Tyndale New Testament Commenta),An annotated list of New Testament commentaries.,Lynn Gardner,2006-04-11,Bible,189,118.15,mega_market,True
Styles of Loving,Subtitle varies in previous editions and versions.,"Milan Yerkovich, Kay Yerkovich",2017,Attachment behavior,220,107.52,mega_market,True
Cosmetic Breast Surgery: A Complete Guide to Making the Right Decision--from A to Double D,"Though cosmetic breast surgery is most commonly an elective procedure, it is an important, irreversible decision that demands careful consideration. In Cosmetic Breast Surgery, distinguished plastic surgeon Robert M. Freund—who has worked on the breasts of thousands of women in his private and public New York City practices—offers clear explanations and sensitive advice for women curious about having their breasts enlarged, reduced, or lifted. In a factual, conversational tone, Dr. Freund—recently named one of New York's leading plastic surgeons by New York magazine—candidly discusses all of the risks and rewards involved, different operating procedures and options, the right and wrong reasons to have surgery, choosing the right surgeon, pre- and postoperative care, and what to do if a procedure goes wrong. Written with a woman's best interest in mind, Cosmetic Breast Surgery provides photographs throughout and is essential reading for all women considering breast surgery.","Robert M. Freund, Alexander Van Dyne",2004-06-17,Health & Fitness,148,113.09,mega_market,True
